County_FIPS,D,I,R
45011.0,46.36,0.408,51.56
45013.0,40.64,0.876,54.94
45015.0,38.63,1.06,56.03
45017.0,47.25,0.522,50.11
45019.0,50.63,1.312,42.78
45021.0,27.99,0.454,69.71
45023.0,46.34,0.488,51.2
45025.0,41.59,0.494,55.9
45027.0,50.37,0.356,47.8
45029.0,44.19,0.612,52.71
45031.0,46.78,0.53,50.52
45033.0,49.86,0.382,48.19
45035.0,38.43,1.122,55.92
45037.0,38.56,0.532,58.75
45039.0,61.64,0.512,35.76
45041.0,46.09,0.566,51.06
45043.0,41.98,0.598,54.99
45045.0,34.66,1.19,59.36
45047.0,37.17,0.754,59.02
45049.0,58.71,0.33,39.6
45051.0,29.5,0.63,67.32
45053.0,54.79,0.456,42.9
45055.0,35.64,0.77,60.48
45057.0,35.43,0.72,60.94
45059.0,33.41,0.644,63.34
45061.0,63.74,0.368,34.38
45063.0,28.84,1.116,65.55
45065.0,47.53,0.322,50.83
45067.0,59.94,0.36,38.22
45069.0,57.25,0.318,41.11
45071.0,36.98,0.674,59.6
45073.0,23.79,0.864,71.86
45075.0,67.63,0.334,30.67
45077.0,21.13,0.996,73.85
45079.0,63.99,0.968,31.14
45081.0,32.81,0.524,64.55
45083.0,33.02,0.788,63.0
45085.0,54.54,0.58,42.52
45087.0,39.1,0.496,58.39
45089.0,66.11,0.31,32.31
45091.0,36.35,1.044,58.4
46003.0,24.16,3.3,69.22
46005.0,28.23,2.985,65.78
46007.0,35.85,3.085,57.96
46009.0,23.67,2.77,70.78
46011.0,38.47,4.145,53.21
46013.0,33.83,3.245,59.65
46015.0,24.95,3.32,68.4
46017.0,60.4,2.345,34.89
46019.0,15.94,3.425,77.19
46021.0,12.63,1.32,84.71
46023.0,27.23,1.685,69.38
46025.0,24.01,3.615,68.73
46027.0,51.44,3.465,41.6
46029.0,27.2,3.13,66.53
46031.0,45.53,2.21,50.04
46033.0,23.74,3.24,69.76
46035.0,29.61,2.76,64.85
46037.0,35.45,2.655,59.22
46039.0,27.4,3.455,65.67
46041.0,51.96,2.835,42.35
46043.0,13.33,1.645,83.36
46045.0,19.81,2.735,74.71
46047.0,23.04,3.235,70.47
46049.0,18.24,2.5,76.74
46051.0,27.23,2.96,66.84
46053.0,18.69,2.39,76.51
46055.0,7.37,1.48,89.65
46057.0,20.09,2.815,74.25
46059.0,18.37,2.555,76.51
46061.0,21.13,2.115,74.62
46063.0,4.94,2.405,90.24
46065.0,29.96,3.36,63.3
46067.0,20.56,2.31,74.79
46069.0,18.11,1.59,78.69
46071.0,29.49,2.275,65.93
46073.0,27.3,2.84,67.01
46075.0,12.36,3.49,80.64
46077.0,27.55,3.285,65.85
46079.0,34.09,3.19,59.5
46081.0,28.33,4.535,62.58
46083.0,32.0,3.28,61.42
46085.0,25.96,2.635,68.75
46087.0,24.08,3.28,69.34
46089.0,16.88,2.325,78.45
46091.0,38.72,3.51,54.23
46093.0,19.12,4.11,72.63
46095.0,34.84,3.145,58.85
46097.0,26.4,3.61,66.35
46099.0,39.11,3.58,53.72
46101.0,35.56,2.71,59.01
46102.0,86.46,2.605,8.32
46103.0,29.47,4.04,62.42
46105.0,11.7,2.64,83.0
46107.0,16.1,1.905,80.07
46109.0,39.6,2.635,55.12
46111.0,21.46,2.8,72.92
46115.0,31.14,3.01,62.82
46117.0,20.99,2.865,73.26
46119.0,15.91,2.61,78.86
46121.0,70.82,3.125,22.91
46123.0,17.56,1.88,78.66
46125.0,23.15,3.03,70.77
