State,County,Party,St_FIPS,County_FIPS,Candidate,Votes,Percentage
il,15th District,GOP,17,,,Winner J. Shimkus (i),68.9%,   203500
il,15th District,Dem,17,,,A. Michael,31.1%,    92067
il,16th District,GOP,17,,,Winner A. Kinzinger (i),61.9%,   179867
il,16th District,Dem,17,,,W. Rohl,38.1%,   110828
il,17th District,Dem,17,,,Winner C. Bustos,53.3%,   148229
il,17th District,GOP,17,,,B. Schilling (i),46.7%,   129970
il,18th District,GOP,17,,,Winner A. Schock (i),74.2%,   243295
il,18th District,Dem,17,,,S. Waterworth,25.8%,    84544
in,1st District,Dem,18,,,Winner P. Visclosky (i),67.3%,   187347
in,1st District,GOP,18,,,J. Phelps,32.7%,    91072
in,2nd District,GOP,18,,,Winner J. Walorski,49.0%,   133806
in,2nd District,Dem,18,,,B. Mullen,47.6%,   129977
in,2nd District,Lib,18,,,J. Ruiz,3.4%,     9313
in,3rd District,GOP,18,,,Winner M. Stutzman (i),67.1%,   187610
in,3rd District,Dem,18,,,K. Boyd,32.9%,    92179
in,4th District,GOP,18,,,Winner T. Rokita (i),61.9%,   168510
in,4th District,Dem,18,,,T. Nelson,34.2%,    92974
in,4th District,Lib,18,,,B. Gehlhausen,3.9%,    10553
in,5th District,GOP,18,,,Winner S. Brooks,58.4%,   194446
in,5th District,Dem,18,,,S. Reske,37.6%,   125229
in,5th District,Lib,18,,,C. Reid,4.0%,    13429
in,6th District,GOP,18,,,Winner L. Messer,59.1%,   162519
in,6th District,Dem,18,,,B. Bookout,35.1%,    96627
in,6th District,Lib,18,,,R. Bell,5.8%,    15954
in,7th District,Dem,18,,,Winner A. Carson (i),62.8%,   161424
in,7th District,GOP,18,,,C. May,37.2%,    95524
in,8th District,GOP,18,,,Winner L. Bucshon (i),53.4%,   151416
in,8th District,Dem,18,,,D. Crooks,43.1%,   122245
in,8th District,Lib,18,,,B. Gadau,3.6%,    10125
in,9th District,GOP,18,,,Winner T. Young (i),56.3%,   157689
in,9th District,Dem,18,,,S. Yoder,43.7%,   122189
ks,1st District,GOP,20,,,Winner T. Huelskamp (i),0.0%,        0
ks,2nd District,GOP,20,,,Winner L. Jenkins (i),57.0%,   161476
ks,2nd District,Dem,20,,,T. Schlingensiepen,38.8%,   110075
ks,2nd District,Lib,20,,,D. Hawver,4.2%,    11956
ks,3rd District,GOP,20,,,Winner K. Yoder (i),68.6%,   197266
ks,3rd District,Lib,20,,,J. Balam,31.4%,    90391
ks,4th District,GOP,20,,,Winner M. Pompeo (i),62.5%,   158212
ks,4th District,Dem,20,,,R. Tillman,31.4%,    79480
ks,4th District,Lib,20,,,T. Jefferson,6.2%,    15587
ky,1st District,GOP,21,,,Winner E. Whitfield (i),69.6%,   199951
ky,1st District,Dem,21,,,C. Hatchett,30.4%,    87196
ky,2nd District,GOP,21,,,Winner B. Guthrie (i),64.3%,   181507
ky,2nd District,Dem,21,,,D. Williams,31.7%,    89541
ky,2nd District,Ind,21,,,A. Beacham,2.2%,     6304
ky,2nd District,Lib,21,,,C. Astor,1.7%,     4914
ky,3rd District,Dem,21,,,Winner J. Yarmuth (i),64.0%,   206368
ky,3rd District,GOP,21,,,B. Wicker,34.5%,   111446
ky,3rd District,Ind,21,,,R. DeVore,1.5%,     4819
ky,4th District,GOP,21,,,Winner T. Massie,62.1%,   186026
ky,4th District,Dem,21,,,W. Adkins,35.0%,   104730
ky,4th District,Ind,21,,,D. Lewis,2.9%,     8673
ky,4th District Special Election,GOP,21,,,Winner T. Massie,60.2%,   174269
ky,4th District Special Election,Dem,21,,,W. Adkins,36.4%,   105226
ky,4th District Special Election,Ind,21,,,D. Lewis,3.4%,     9757
ky,5th District,GOP,21,,,Winner H. Rogers (i),78.2%,   194483
ky,5th District,Dem,21,,,K. Stepp,21.8%,    54181
ky,6th District,GOP,21,,,Winner A. Barr,50.6%,   153221
ky,6th District,Dem,21,,,B. Chandler (i),46.7%,   141436
ky,6th District,Ind,21,,,R. Vance,2.8%,     8340
